(1499,101560)
(1676,101561)
(1785,101584)
(2256,101639)
(3312,101703)
(3373,101712)
(3586,101735)
(3745,101749)
(3989,101765)
(4380,101800)
(5174,101875)
(5731,101931)
(5949,101956)
(6324,101988)
(7142,102031)
(8045,102100)
(8515,102155)
(9068,102193)
(9276,102225)
(10003,102263)
(10499,102321)
(10554,102325)
(11355,102384)
(12914,102506)
(13252,102538)
(13300,102547)
(13651,102589)
(15549,102756)
(15907,102808)
(17574,102922)
(18416,102965)
(1408,103192)
(3269,103337)
(3717,103376)
(4524,103441)
(4706,103476)
(5093,103483)
(6250,103589)
(7211,103634)
(7377,103650)
(8518,103745)
(9195,103787)
(9411,103807)
(9504,103809)
(10221,103850)
(10338,103864)
(11220,103939)
(11720,103969)
(12306,104010)
(13569,104124)
(14963,104215)
(15345,104241)
(15569,104289)
(15792,104319)
(16634,104379)
(17045,104399)
(688,104655)
(1996,104763)
(2222,104783)
(2223,104788)
(3520,104872)
(4552,104941)
(4684,104961)
(5186,104977)
(5696,105015)
(6498,105080)
(6655,105084)
(8634,105218)
(8811,105229)
(8845,105232)
(9601,105266)
(10320,105311)
(11071,105349)
(11616,105399)
(12008,105427)
(13430,105537)
(13455,105542)
(15444,105686)
(16240,105771)
(17457,105845)
(18487,105893)
(19848,106005)
(643,106051)
(1728,106130)
(1879,106141)
(4427,106309)
(5271,106348)
(6386,106429)
(7782,106487)
(8738,106560)
(9240,106587)
(12627,106765)
(15096,106948)
(15597,107008)
(15700,107014)
(16421,107073)
(16913,107088)
(17178,107093)
(17444,107123)
(17567,107125)
(18864,107193)
(19720,107264)
(19923,107284)
(1760,107392)
(1967,107406)
(2383,107436)
(2743,107455)
(4243,107531)
(4336,107538)
(4348,107541)
(4780,107575)
(5625,107607)
(6856,107676)
(7952,107729)
(8005,107733)
(8433,107760)
(10492,107869)
(11123,107895)
(11125,107898)
(11977,107942)
(13402,108040)
(13917,108084)
(15424,108179)
(17279,108284)
(17665,108300)
(17730,108302)
(18872,108361)
(19561,108417)
(19723,108424)
(19893,108432)
(228,108443)
(1159,108484)
(1684,108528)
(2326,108563)
(2392,108566)
(3851,108633)
(4385,108662)
(4563,108663)
(5329,108691)
(5738,108726)
(6152,108753)
(7109,108778)
(7250,108788)
(7255,108791)
(8436,108845)
(9130,108873)
(9659,108891)
(9666,108893)
(10016,108907)
(10350,108927)
(12675,109041)
(13841,109131)
(15455,109230)
(15481,109232)
(15488,109236)
(15637,109250)
(15744,109260)
(16073,109283)
(17303,109323)
(18219,109351)
(18674,109376)
(316,109467)
(762,109473)
(1459,109521)
(2194,109553)
(3519,109609)
(5349,109673)
(5727,109690)
(6147,109720)
(7239,109744)
(7809,109762)
(7928,109767)
(10035,109845)
(10606,109870)
(11644,109920)
(11957,109928)
(12724,109974)
(14078,110063)
(14151,110065)
(15529,110142)
(18638,110245)
(19059,110274)
(19871,110315)
(945,110343)
(1209,110367)
(1285,110370)
(1432,110373)
(3248,110437)
(3513,110454)
(4317,110482)
(5144,110505)
(5737,110528)
(7690,110571)
(8251,110591)
(8422,110605)
(10455,110671)
(10692,110676)
(11115,110691)
(11574,110716)
(12248,110738)
(13109,110775)
(13213,110790)
(14432,110864)
(15819,110929)
(15821,110931)
(16206,110942)
(17335,110975)
(17354,110980)
(19089,111040)
(483,111093)
(1466,111119)
(1470,111122)
(2054,111136)
(2546,111156)
(3023,111170)
(3305,111175)
(4617,111222)
(5226,111231)
(5746,111248)
(5925,111251)
(5973,111256)
(6997,111279)
(7775,111287)
(10389,111365)
(11179,111381)
(12631,111425)
(12872,111439)
(13216,111458)
(13255,111462)
(13470,111472)
(13571,111480)
(13707,111484)
(13904,111494)
(13941,111501)
(14357,111516)
(14645,111517)
(14860,111528)
(15062,111529)
(15518,111559)
(15740,111564)
(16347,111575)
(16393,111582)
(16665,111583)
(17181,111593)
(17929,111603)
(18523,111622)
(18838,111627)
(18960,111641)
(19291,111658)
(204,111687)
(896,111693)
(1122,111701)
(1169,111704)
(3020,111744)
(4701,111791)
(6181,111813)
(8412,111839)
(8496,111848)
(9137,111864)
(9723,111882)
(11170,111905)
(11944,111916)
(12326,111932)
(12699,111940)
(13034,111950)
(13199,111960)
(13429,111965)
(13920,111976)
(14162,111981)
(15303,112008)
(15864,112019)
(18255,112052)
(18850,112055)
(2238,112131)
(2400,112134)
(3329,112143)
(3601,112149)
(3975,112157)
(4172,112159)
(4225,112164)
(4576,112172)
(5448,112173)
(5512,112174)
(6140,112181)
(6705,112184)
(7723,112190)
(8081,112192)
(9667,112232)
(11095,112248)
(11458,112250)
(12023,112268)
(12593,112271)
(13537,112283)
(14734,112303)
(18016,112347)
(19213,112363)
(19214,112367)
(19942,112390)
(948,112396)
(1192,112397)
(2059,112412)
(2808,112413)
(3829,112421)
(4383,112423)
(5716,112427)
(6773,112431)
(8297,112434)
(8865,112454)
(9250,112464)
(10211,112465)
(10993,112474)
(11979,112480)
(12719,112490)
(13166,112495)
(14235,112504)
(14648,112509)
(15222,112510)
(15376,112519)
(15378,112524)
(16364,112531)
(16776,112533)
(17809,112538)
(19332,112554)
(19419,112559)
(19559,112563)
(19662,112568)
(294,112570)
(1761,112571)
(1960,112575)
(3401,112579)
(8482,112581)
(8499,112582)
(8784,112585)
(9216,112587)
(10303,112589)
(11477,112593)
(12011,112595)
(13820,112599)
(15241,112600)
(16005,112603)
(18222,112604)
(18932,112608)
(18988,112612)
(0,0,0)(0,0,0)
(10531,12,50)
(10531,212882)
(2495,3000,14000)
(2495,3005,14000)
(2495,9950,14000)
(2495,9955,14000)
(2495,9960,14000)
(15665,340495)
(2495,341495)
(18067,341500)
(0,0,0)
(16564,573500)
(19249,583500)
(4083,647550)
(4441,674550)
(1533,2000,4000),(5489,2000,3500),(7496,2000,3700),(14345,2000,2500)
(1533,2005,4000),(5489,2005,3500),(7496,2005,3700),(14345,2005,2500)
(1533,2010,4000),(5489,2010,3500),(7496,2010,3700),(14345,2010,2500)
(1533,2015,4000),(5489,2015,3500),(7496,2015,3700),(14345,2015,2500)
(1533,2020,4000),(5489,2020,3500),(7496,2020,3700),(14345,2020,2500)
(14345,912495)
(5489,916490)
(17421,916500)
(7496,916900)
(1533,917200)
